ID,RecordedDate,ResponseId,Q1,Q2,Q3,Q4,Q5,Zip
130,5/30/17 21:13,R_rj0USWwh,1,2,1,1,1,91721
131,5/30/17 21:18,R_233rm9QD,2,2,4,3,1,91003
132,5/30/17 21:22,R_2QRqOx6A,2,4,4,2,2,91081
133,5/30/17 21:31,R_3Mumzr9l,2,2,5,3,2,91104
134,5/30/17 21:37,R_2RVei3Q6,5,5,1,1,3,91721
135,5/30/17 21:39,R_2SwXpFfQ,2,1,4,2,2,91770
136,5/30/17 21:40,R_6mrQju6a,4,5,4,3,1,91121
137,5/30/17 21:42,R_3KCM8DyG,1,1,4,2,2,91043
138,5/30/17 21:44,R_2AKnNAy9,2,2,3,1,1,91098
139,5/30/17 21:47,R_3EhRc8Q2,3,2,3,2,1,91737
140,5/30/17 21:48,R_cvdlEJnk,1,5,4,2,1,91005
141,5/30/17 21:48,R_tErbrYvC,4,2,1,1,1,91075
142,5/30/17 21:52,R_22RLl4Na,2,2,2,1,4,91401
143,5/30/17 21:54,R_6jUuxTlx,4,2,2,2,1,91302
144,5/30/17 22:05,R_3PplsYpP,4,4,5,1,2,91047
145,5/30/17 22:07,R_ymsINcEA,3,1,5,1,1,91116
146,5/30/17 22:11,R_2qn3jYif,2,1,4,1,1,91047
147,5/30/17 22:18,R_vIWlI9Y6,5,4,5,1,1,91651
148,5/30/17 22:21,R_2rZRZXY6,4,2,2,2,2,91075
149,5/30/17 22:22,R_ROWPiiff,2,2,4,2,3,91052
150,5/30/17 22:22,R_3KxrlA6j,2,3,2,1,3,91119
151,5/30/17 22:26,R_25FnkbuX,3,3,3,3,3,91405
152,5/30/17 22:31,R_2QnBE3xj,4,4,1,2,1,91335
153,5/30/17 22:31,R_ZxcMD8KR,2,1,1,1,2,91120
154,5/30/17 22:31,R_2v66wKr4,5,3,4,2,1,91074
155,5/30/17 22:43,R_2Pk5Leva,2,4,1,1,2,91120
156,5/30/17 22:43,R_6rqacWLk,2,2,3,3,3,91123
157,5/30/17 22:46,R_6jMTApfM,2,2,2,1,1,91065
158,5/30/17 22:46,R_6MoNrY6L,3,2,3,2,3,91117
159,5/30/17 22:49,R_3O7lV9NX,4,4,4,3,1,91115
160,5/30/17 22:52,R_2f3taIdu,5,1,4,2,2,91014
161,5/30/17 22:56,R_3FJrKCZl,4,2,5,2,1,91045
162,5/30/17 23:01,R_6ONrNCIF,4,3,4,3,2,91120
163,5/30/17 23:05,R_6C7vi2ow,2,5,5,1,1,91601
164,5/30/17 23:08,R_ypBlEEE7,2,1,2,2,4,91128
165,5/30/17 23:10,R_rp47RpKB,5,5,3,1,2,91105
166,5/30/17 23:11,R_3KvI24DD,3,2,2,1,3,91720
167,5/30/17 23:11,R_2qaZTXME,4,2,4,1,1,91062
168,5/30/17 23:11,R_3kHOq4Ki,4,2,5,3,2,91124
169,5/30/17 23:16,R_6kSpZ4b7,2,1,1,1,2,91074
170,5/30/17 23:16,R_YSmrDNjU,4,2,4,4,2,91601
171,5/30/17 23:20,R_6g5x27Dz,3,2,4,3,2,91321
172,5/30/17 23:21,R_6Cjw67LV,4,2,4,1,2,91414
173,5/30/17 23:31,R_6r7ERDXC,2,1,5,2,1,91041
